Fecha,TempMedia,TempMax,HorMinTempMax,TempMin,HorMinTempMin,HumedadMedia,HumedadMax,HorMinHumMax,HumedadMin,HorMinHumMin,VelViento,DirViento,VelVientoMax,HorMinVelMax,DirVientoVelMax,Radiacion,Precipitacion,TempSuelo1,TempSuelo2,EtPMon,PePMon,Estacion
2004-12-31,7.52,11.88,1420.0,2.332,100.0,86.5,94.7,2300.0,80.1,1450.0,0.634,349.1,3.43,756.0,326.8,1.793,0.2,,,,,IB05
2009-07-22,30.08,41.3,1350.0,21.34,500.0,56.5,92.0,520.0,13.68,1400.0,0.951,216.7,5.361,1401.0,279.2,27.65,0.0,,,,,IB05
2015-12-31,,,,,,,,,,,,,,,,,,,,,,IB05
2016-01-01,12.038,18.19,1400.0,6.701,700.0,90.867,100.0,100.0,70.7,1500.0,0.427,194.9,3.538,1330.0,149.5,6.889,0.198,12.45,12.53,,0.0,IB05
2016-12-23,,,,,,,,,,,0.537,,1.509,1500.0,197.0,,,,,,,IB05
2022-04-04,,,,,,,,,,,,,,,,,,,,,,IB05
2022-05-11,,,,,,,,,,,,,,,,,,,,,,IB05
2022-05-12,18.94,25.86,1340.0,11.96,0.0,76.3,99.8,540.0,39.11,1110.0,1.153,31.44,5.851,1155.0,121.5,26.25,0.0,,,,,IB05
2009-06-18,26.04,35.76,1240.0,16.67,440.0,39.14,77.0,350.0,13.22,1010.0,1.057,84.5,5.586,1422.0,121.7,28.52,0.0,,,6.314940452575684,0.0,IB05
2009-06-19,26.92,38.33,1210.0,17.19,400.0,38.72,78.1,2310.0,11.17,1210.0,0.694,203.8,4.273,1220.0,177.2,25.81,0.0,,,5.634880542755127,0.0,IB05
2012-08-09,27.45,35.93,1320.0,18.78,220.0,40.79,69.1,530.0,13.22,1430.0,1.099,135.0,5.155,1309.0,146.2,23.75,0.0,34.78,33.6,5.596669,0.0,IB05
2015-07-06,29.3,38.44,1150.0,20.02,420.0,39.83,75.4,320.0,17.71,1150.0,0.795,142.8,4.91,1541.0,107.0,26.67,0.0,36.42,34.63,5.988312,0.0,IB05
2015-07-07,28.82,37.45,1420.0,19.71,400.0,39.87,63.39,2350.0,21.68,1600.0,0.971,160.0,5.351,1354.0,141.1,26.38,0.0,36.24,34.62,6.107427,0.0,IB05
2022-06-14,26.59,36.32,1230.0,17.17,350.0,36.98,65.09,220.0,13.94,1050.0,0.808,119.2,4.871,1313.0,135.6,27.79,0.0,31.49,29.73,5.909721,0.0,IB05
2022-06-17,29.15,38.53,1020.0,18.64,430.0,39.64,67.77,430.0,18.29,1350.0,0.597,163.7,4.449,1437.0,155.7,29.37,0.0,33.31,31.18,6.041677,0.0,IB05
2004-06-28,28.16,36.08,1400.0,19.84,410.0,41.8,75.7,430.0,19.61,1430.0,1.312,57.81,5.145,1156.0,101.8,28.62,0.0,,,6.734295845031738,0.0,IB05
2004-09-25,19.53,23.99,1220.0,12.41,0.0,51.09,74.3,630.0,29.94,1450.0,1.884,17.17,7.77,1128.0,16.15,16.75,0.4,,,3.638923406600952,0.0,IB05
2004-09-26,18.13,25.49,1300.0,12.35,320.0,56.4,77.6,340.0,30.87,1130.0,0.941,353.1,7.1,1459.0,349.2,13.0,0.0,,,2.714090347290039,0.0,IB05
2005-06-19,24.83,32.22,1400.0,15.38,440.0,51.28,76.0,430.0,28.21,1450.0,0.893,198.8,4.9,1456.0,95.9,28.02,0.0,,,5.664398193359375,0.0,IB05
2005-07-08,23.28,27.6,1300.0,20.26,450.0,55.09,72.6,0.0,39.32,1410.0,2.19,61.27,5.851,1354.0,94.2,21.4,0.0,,,5.35117769241333,0.0,IB05
2005-07-09,23.56,30.05,1400.0,17.68,440.0,53.66,71.6,520.0,34.83,1200.0,1.496,53.25,5.9,1053.0,96.0,26.75,0.0,,,5.797366142272949,0.0,IB05
2005-07-14,25.96,33.75,1140.0,17.36,440.0,47.15,74.9,50.0,21.41,1300.0,1.53,60.98,5.929,1306.0,153.4,27.83,0.0,,,6.489781856536865,0.0,IB05
2005-08-01,26.13,32.95,1320.0,20.2,430.0,52.62,74.2,430.0,31.92,1320.0,1.57,35.71,7.06,1053.0,37.63,24.31,0.0,,,5.841308116912842,0.0,IB05
2005-08-02,23.7,28.61,1210.0,17.88,2320.0,57.76,77.3,450.0,38.67,1600.0,1.36,15.75,5.929,1453.0,352.9,15.57,0.2,,,3.9775123596191406,0.0,IB05
2005-12-06,11.0,15.3,1230.0,6.549,430.0,63.93,77.7,2010.0,45.25,1310.0,2.082,0.0,6.429,1213.0,0.0,9.73,0.0,,,1.5283838510513306,0.0,IB05
2006-06-03,17.41,23.41,1320.0,10.5,210.0,52.66,77.2,2340.0,32.8,1030.0,1.391,0.0,6.733,1343.0,0.0,25.0,0.0,,,4.651750564575195,0.0,IB05
2006-06-20,25.68,32.04,1150.0,21.12,210.0,54.38,71.5,0.0,29.15,1130.0,1.076,25.69,6.331,1352.0,219.7,11.59,0.0,,,3.760936975479126,0.0,IB05
2006-08-04,25.27,29.54,1320.0,20.33,0.0,48.91,66.21,0.0,32.72,1320.0,1.921,76.6,7.11,1008.0,31.63,20.72,0.0,,,5.375325679779053,0.0,IB05
2006-08-31,22.01,29.98,1210.0,15.98,400.0,56.05,74.7,400.0,30.07,1120.0,0.97,46.82,4.684,1313.0,127.3,19.3,0.0,,,4.045893669128418,0.0,IB05
2006-11-03,15.37,19.07,1420.0,12.03,530.0,61.39,72.7,0.0,49.15,1110.0,0.964,22.48,4.204,1525.0,96.1,6.693,0.0,,,1.4782965183258057,0.0,IB05
2007-01-27,7.85,10.3,1230.0,5.042,600.0,60.22,75.2,140.0,44.34,1410.0,2.129,28.55,8.28,1349.0,25.84,11.98,0.2,,,1.5438265800476074,0.0,IB05
2007-02-26,12.52,17.61,1300.0,8.8,450.0,58.38,72.4,120.0,38.96,1250.0,2.114,296.7,8.86,810.0,330.7,16.73,0.0,,,2.7777562141418457,0.0,IB05
2007-06-26,21.53,26.63,1400.0,16.51,2340.0,58.52,73.4,0.0,38.94,1400.0,1.983,59.36,7.61,632.0,60.87,22.26,0.0,,,5.1200103759765625,0.0,IB05
2007-08-05,24.99,31.31,1220.0,17.04,440.0,55.62,77.1,2330.0,35.56,930.0,1.197,128.8,6.135,1409.0,104.0,27.0,0.0,,,5.532454967498779,0.0,IB05
2007-08-08,22.75,26.32,1010.0,20.53,0.0,67.17,76.8,150.0,55.41,940.0,1.198,32.38,4.861,1208.0,51.17,8.57,0.0,,,2.6138875484466557,0.0,IB05
2007-08-09,22.8,27.63,1610.0,16.97,520.0,58.65,76.4,0.0,41.52,1050.0,1.295,165.6,5.772,1040.0,143.9,19.83,0.0,,,4.298645973205566,0.0,IB05
2007-08-17,24.56,29.74,1300.0,19.81,2350.0,55.7,73.5,40.0,35.56,1240.0,1.607,44.93,7.03,1447.0,69.65,24.9,0.0,,,5.427950859069824,0.0,IB05
2007-11-26,12.36,14.53,1020.0,11.37,600.0,66.8,76.9,0.0,55.38,1200.0,2.445,20.6,7.49,1308.0,48.11,9.63,0.0,,,1.6296547651290894,0.0,IB05
2007-12-10,12.62,15.12,1130.0,9.0,2350.0,56.73,70.5,0.0,46.12,1220.0,3.223,310.6,11.72,1218.0,290.1,9.58,0.0,,,2.026841640472412,0.0,IB05
2008-03-06,7.66,13.07,1510.0,3.332,2050.0,48.61,77.8,2120.0,27.27,1300.0,2.764,331.5,11.12,41.0,341.7,17.53,0.0,,,2.870415210723877,0.0,IB05
2009-01-24,14.63,16.53,710.0,9.87,2350.0,47.6,68.84,0.0,27.39,1400.0,6.01,279.6,14.67,2011.0,328.5,11.11,0.2,,,3.8244457244873047,0.0,IB05
2009-03-05,9.31,13.76,1330.0,6.174,2350.0,58.4,74.9,1300.0,43.49,1600.0,3.519,297.2,10.54,1413.0,341.3,14.8,0.2,,,2.777665138244629,0.0,IB05
2009-07-02,27.14,35.16,1130.0,18.97,520.0,42.22,70.6,310.0,13.35,1110.0,0.775,200.0,5.008,1317.0,174.3,28.84,0.0,,,5.952409267425537,0.0,IB05
2009-07-08,24.04,27.25,1500.0,19.43,0.0,59.81,75.0,0.0,45.83,1410.0,1.624,56.61,5.38,1137.0,118.2,19.53,0.0,,,4.576246738433838,0.0,IB05
2009-07-09,23.73,30.41,1210.0,16.93,430.0,56.33,77.6,450.0,31.14,1210.0,1.084,92.0,5.723,1320.0,132.6,23.65,0.0,,,5.092054843902588,0.0,IB05
2009-07-25,26.1,32.0,1410.0,19.24,0.0,44.71,62.45,200.0,21.29,1410.0,1.536,38.76,6.419,956.0,62.82,28.58,0.0,,,6.44133186340332,0.0,IB05
2009-07-26,25.32,33.18,1240.0,17.26,350.0,47.81,71.2,500.0,26.05,1230.0,1.115,91.7,5.811,1253.0,109.9,27.64,0.0,,,5.868173122406006,0.0,IB05
