Fecha,TempMedia,TempMax,HorMinTempMax,TempMin,HorMinTempMin,HumedadMedia,HumedadMax,HorMinHumMax,HumedadMin,HorMinHumMin,VelViento,DirViento,VelVientoMax,HorMinVelMax,DirVientoVelMax,Radiacion,Precipitacion,TempSuelo1,TempSuelo2,EtPMon,PePMon,Estacion
2004-03-30,12.855,15.2,1620.0,10.06,2400.0,79.852,96.4,0.0,66.11,1600.0,2.011,220.4,8.24,1616.0,265.6,1.787,0.4,,,1.1850190162658691,0.0,IB01
2004-03-31,12.72,18.45,1420.0,8.02,130.0,73.3,100.0,750.0,36.52,1500.0,1.254,260.3,6.88,1123.0,265.7,21.09,0.0,,,3.098855972290039,0.0,IB01
2004-04-01,12.43,17.92,1350.0,4.832,600.0,81.8,100.0,800.0,55.17,1520.0,2.211,196.8,7.84,1312.0,221.0,21.09,0.0,,,3.007540464401245,0.0,IB01
2004-04-02,13.2,18.46,1230.0,7.09,410.0,74.0,100.0,700.0,48.09,1240.0,1.175,254.0,5.723,1830.0,216.4,14.27,0.2,,,2.4110286235809326,0.0,IB01
2004-04-03,12.71,19.17,1420.0,5.761,0.0,70.4,94.9,2140.0,35.84,1310.0,1.345,313.0,4.978,1004.0,294.4,22.73,0.0,,,3.3604846000671387,0.0,IB01
2004-04-04,11.97,19.72,1030.0,4.094,520.0,77.8,100.0,650.0,48.21,1350.0,1.173,187.2,6.076,1330.0,174.1,23.07,0.0,,,3.1846508979797363,0.0,IB01
2004-04-05,12.69,19.58,1110.0,5.762,430.0,71.5,97.2,600.0,31.83,1130.0,1.075,188.2,4.322,1143.0,196.7,20.81,0.0,,,3.1642184257507324,0.0,IB01
2004-04-06,14.21,22.23,1350.0,6.618,520.0,79.4,100.0,650.0,37.97,1330.0,0.971,271.7,4.665,940.0,280.8,23.27,0.0,,,3.4866068363189697,0.0,IB01
2004-04-07,13.9,17.78,1510.0,8.48,220.0,76.2,100.0,300.0,44.07,1600.0,2.089,48.15,7.37,1115.0,66.39,23.09,0.0,,,3.460537433624268,0.0,IB01
2004-04-08,13.07,16.86,1150.0,11.74,210.0,81.9,95.6,230.0,64.42,1150.0,2.41,107.6,7.19,1135.0,151.6,12.41,0.6,,,2.258801221847534,0.0,IB01
2004-04-09,9.35,12.41,1320.0,3.565,0.0,85.9,97.9,0.0,65.26,1730.0,1.708,22.85,6.164,1142.0,73.3,7.14,5.2,,,1.442890763282776,2.010541677474976,IB01
