Estacion,Codigo,Termino,Longitud,Latitud,Altitud,XUTM,YUTM,Huso,Fecha_Instalacion,Fecha_Baja
Santa Eulalia,IB01,Santa Eulalia del Río,012623000E,390036000N,120,884487.0,4327280.0,31,2004-03-30T00:00:00,
Inca,IB02,Inca,025618000E,394101000N,78,1009420.0,4409550.0,31,2004-03-31T00:00:00,
Manacor,IB03,Manacor,031017000E,393245000N,79,1030470.0,4395600.0,31,2004-04-01T00:00:00,
Son Ferriol,IB04,Palma,024333000E,393344000N,8,992040.0,4394870.0,31,2004-04-01T00:00:00,
Felanitx,IB05,Felanitx,030510000E,392831000N,82,1023670.0,4387260.0,31,2004-04-05T00:00:00,
Sa Pobla,IB06,"Pobla, Sa",030232000E,394810000N,4,1017420.0,4423370.0,31,2004-04-05T00:00:00,
Sóller,IB07,Sóller,024240000E,394649000N,44,989206.0,4419030.0,31,2004-08-11T00:00:00,2012-11-13T00:00:00
Es Mercadal,IB08,"Mercadal, Es",040553000E,400013000N,40,1106140.0,4452380.0,31,2005-10-05T00:00:00,
Artá,IB09,Artà,032136000E,394150000N,105,1045510.0,4413540.0,31,2005-10-24T00:00:00,2018-10-10T00:00:00
Calviá,IB10,Calvià,022752000E,393304000N,30,969620.0,4392240.0,31,2005-10-08T00:00:00,
Ciutadella,IB101,Ciutadella de Menorca,035110000E,395755000N,21,1085510.0,4446460.0,31,2008-12-02T00:00:00,2009-08-10T00:00:00
S' Estany des Peix,IB11,Formentera,012352000E,384337000N,7,882360.0,4295680.0,31,2005-10-10T00:00:00,
